PDBid,date,President,Total_Pgs,maps,Redaction_total
17061961,6/17/61,1,8,2,26
19061961,6/19/61,1,7,1,23
20061961,6/20/61,1,5,0,8
21061961,6/21/61,1,5,0,17
22061961,6/22/61,1,6,1,13
23061961,6/23/61,1,9,1,22
24061961,6/24/61,1,6,0,9
26061961,6/26/61,1,7,1,22
27061961,6/27/61,1,7,1,25
28061961,6/28/61,1,8,1,24
29061961,6/29/61,1,6,0,10
30061961,6/30/61,1,7,1,15
3071961,7/3/61,1,10,2,31
5071961,7/5/61,1,4,0,15
6071961,7/6/61,1,7,1,18
7071961,7/7/61,1,7,0,21
8071961,7/8/61,1,2,0,6
10071961,7/10/61,1,6,0,20
11071961,7/11/61,1,6,0,13
12071961,7/12/61,1,7,1,21
13071961,7/13/61,1,5,0,13
14071961,7/14/61,1,4,0,7
15071961,7/15/61,1,2,0,9
17071961,7/17/61,1,6,1,7
18071961,7/18/61,1,6,0,19
19071961,7/19/61,1,6,0,7
20071961,7/20/61,1,9,2,13
21071961,7/21/61,1,7,0,10
22071961,7/22/61,1,8,0,17
24071961,7/24/61,1,6,0,14
25071961,7/25/61,1,6,1,7
26071961,7/26/61,1,8,0,16
27071961,7/27/61,1,5,0,6
28071961,7/28/61,1,5,0,10
29071961,7/29/61,1,2,0,7
31071961,7/31/61,1,8,0,8
1081961,8/1/61,1,5,0,11
2081961,8/2/61,1,6,0,18
3081961,8/3/61,1,6,0,17
4081961,8/4/61,1,4,0,8
5081961,8/5/61,1,2,0,10
6081961,8/6/61,1,2,0,9
7081961,8/7/61,1,5,0,11
8081961,8/8/61,1,7,2,12
9081961,8/9/61,1,5,0,12
10081961,8/10/61,1,7,1,14
11081961,8/11/61,1,6,0,15
12081961,8/12/61,1,3,0,5
14081961,8/14/61,1,8,1,22
15081961,8/15/61,1,5,0,13
16081961,8/16/61,1,9,0,15
17081961,8/17/61,1,10,0,22
18081961,8/18/61,1,7,1,18
19081961,8/19/61,1,5,0,16
21081961,8/21/61,1,3,0,10
22081961,8/22/61,1,5,0,14
23081961,8/23/61,1,7,0,22
24081961,8/24/61,1,6,0,23
25081961,8/25/61,1,2,0,2
25081961,8/25/61,1,5,0,16
26081961,8/26/61,1,3,0,7
28081961,8/28/61,1,9,1,19
29081961,8/29/61,1,6,1,12
30081961,8/30/61,1,7,1,18
31081961,8/31/61,1,8,0,13
1091961,9/1/61,1,8,2,23
2091961,9/2/61,1,3,0,10
3091961,9/3/61,1,2,0,2
4091961,9/4/61,1,2,0,4
5091961,9/5/61,1,6,0,16
6091961,9/6/61,1,7,0,20
7091961,9/7/61,1,6,0,11
8091961,9/8/61,1,5,0,10
9091961,9/9/61,1,3,0,17
11091961,9/11/61,1,6,0,26
12091961,9/12/61,1,6,0,17
13091961,9/13/61,1,8,2,20
14091961,9/14/61,1,8,0,26
15091961,9/15/61,1,7,1,15
16091961,9/16/61,1,4,0,11
17091961,9/17/61,1,3,0,5
18091961,9/18/61,1,6,0,16
19091961,9/19/61,1,6,1,11
20091961,9/20/61,1,5,0,11
21091961,9/21/61,1,7,1,18
22091961,9/22/61,1,10,1,29
23091961,9/23/61,1,3,0,14
25091961,9/25/61,1,1,0,11
26091961,9/26/61,1,3,0,15
27091961,9/27/61,1,1,0,3
28091961,9/28/61,1,4,0,7
29091961,9/29/61,1,2,0,11
30091961,9/30/61,1,2,0,7
2101961,10/2/61,1,2,0,12
3101961,10/3/61,1,6,0,19
4101961,10/4/61,1,5,1,8
5101961,10/5/61,1,7,1,16
6101961,10/6/61,1,6,0,17
7101961,10/7/61,1,8,2,25
9101961,10/9/61,1,5,1,21
10101961,10/10/61,1,4,0,10
11101961,10/11/61,1,4,0,12
12101961,10/12/61,1,5,0,13
13101961,10/13/61,1,7,1,17
14101961,10/14/61,1,5,0,20
16101961,10/16/61,1,7,2,21
17101961,10/17/61,1,7,1,15
18101961,10/18/61,1,5,0,18
19101961,10/19/61,1,5,0,11
20101961,10/20/61,1,7,1,16
21101961,10/21/61,1,3,0,13
23101961,10/23/61,1,5,0,16
24101961,10/24/61,1,6,0,14
25101961,10/25/61,1,4,0,6
26101961,10/26/61,1,5,0,8
27101961,10/27/61,1,6,0,11
28101961,10/28/61,1,6,0,9
30101961,10/30/61,1,7,0,11
31101961,10/31/61,1,7,1,9
1111961,11/1/61,1,7,1,10
2111961,11/2/61,1,7,0,12
3111961,11/3/61,1,6,0,7
4111961,11/4/61,1,6,0,12
6111961,11/6/61,1,5,0,15
7111961,11/7/61,1,7,0,12
8111961,11/8/61,1,6,0,8
9111961,11/9/61,1,6,0,5
10111961,11/10/61,1,7,0,13
11111961,11/11/61,1,6,1,10
13111961,11/13/61,1,5,0,11
14111961,11/14/61,1,4,0,11
15111961,11/15/61,1,5,0,7
