Country,Year,Proportion_Consumption_Imported,Proportion_Consumption_From_UK,Proportion_Imported_From_UK,Tons_Imported ,Tons_Produced,Tons_Exported
United Kingdom,1893,0.02,99.98,N/A,25000,164326000,37488000
United Kingdom,1894,0,100,N/A,7000,188277000,42687000
United Kingdom,1895,0.01,99.99,N/A,14000,189661000,42907000
United Kingdom,1896,0.01,99.99,N/A,16000,195361000,44587000
United Kingdom,1897,0.01,99.99,N/A,8000,202130000,48128000
United Kingdom,1898,0.01,99.99,N/A,10000,202055000,48267000
United Kingdom,1899,0,100,N/A,1000,220095000,55810000
United Kingdom,1900,0.01,99.99,N/A,10000,225181000,58405000
United Kingdom,1901,0,100,N/A,7000,219047000,57783000
United Kingdom,1902,0,100,N/A,3000,227095000,60400000
United Kingdom,1903,0,100,N/A,3000,230334000,63805000
United Kingdom,1904,0,100,N/A,3000,232428000,65822000
United Kingdom,1905,0.03,99.97,N/A,49000,236129000,67161000
United Kingdom,1906,0.05,99.95,N/A,81000,251068000,76788000
United Kingdom,1907,0.2,99.98,N/A,31000,267831000,85188000
United Kingdom,1908,0,100,N/A,5000,261529000,85306000
United Kingdom,1909,0,100,N/A,8000,263774000,86037000
United Kingdom,1910,0.03,99.97,N/A,48000,264433000,84542000
United Kingdom,1911,0.02,99.98,N/A,41000,271899000,87081000
Russian Empire,1893,20.87,16.84,80.68998563,1967000,7470000,10000
Russian Empire,1894,20.75,16.7,80.48192771,2222000,8494000,9000
Russian Empire,1895,19.95,15.81,79.2481203,2202000,8846000,8000
Russian Empire,1896,20.05,15.03,74.96259352,2305000,9201000,11000
Russian Empire,1897,18.46,13.2,71.50595883,2480000,10991000,36000
Russian Empire,1898,19.63,12.5,63.67804381,2937000,12076000,49000
Russian Empire,1899,24.29,16.2,66.6941128,4394000,13711000,15000
Russian Empire,1900,21.79,12.93,59.3391464,4412000,15852000,17000
Russian Empire,1901,18.18,11.17,61.44114411,3600000,16215000,16000
Russian Empire,1902,17.06,11.13,65.24032825,3312000,16156000,53000
Russian Empire,1903,16.44,10.64,64.72019465,3433000,17532000,83000
Russian Empire,1904,16.79,11.45,68.19535438,3815000,19008000,96000
Russian Empire,1905,18.44,11.29,61.22559653,4351000,19313000,60000
Russian Empire,1906,16.91,10.39,61.44293318,4309000,21296000,116000
Russian Empire,1907,15.96,10.09,63.22055138,4315000,21000000,212000
Russian Empire,1908,15.33,9.88,64.44879322,4599000,25487000,78000
Russian Empire,1909,14.78,8.77,59.33694181,4534000,26232000,83000
Russian Empire,1910,16.78,8.63,51.43027414,4911000,24460000,104000
Russian Empire,1911,19.68,9.54,48.47560976,5568000,22824000,94000
Sweden,1893,89.29,84.56,94.70265427,1642000,197000,0
Sweden,1894,91.14,88.39,96.98266403,1986000,193000,0
Sweden,1895,89.97,86.73,96.3987996,1973000,220000,0
Sweden,1896,90.25,86.56,95.91135734,2056000,222000,0
Sweden,1897,91.28,88.38,96.82296231,2302000,220000,0
Sweden,1898,91.42,87.41,95.61365128,2461000,232000,1000
Sweden,1899,93.07,89.37,96.02449769,3142000,235000,1000
Sweden,1900,92.71,90,97.07690648,3142000,248000,1000
Sweden,1901,91.5,89.15,97.43169399,2875000,268000,1000
Sweden,1902,90.89,87.81,96.61128837,2983000,300000,1000
Sweden,1903,91.3,85.74,93.9101862,3297000,315000,1000
